date,price,unit,title
08/05/2023,,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
08/04/2023,,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
08/03/2023,,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
08/02/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
08/01/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/31/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/30/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/29/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/28/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/27/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/26/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/25/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/24/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/23/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/22/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/21/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/20/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/19/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/18/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/17/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/16/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/15/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/14/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/13/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/12/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/11/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/10/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/09/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/08/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/07/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/06/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/05/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/04/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/03/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/02/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
07/01/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/30/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/29/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/28/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/27/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/26/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/25/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/24/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/23/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/22/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/21/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/20/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/19/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/18/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/17/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/16/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/15/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/14/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/13/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/12/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/11/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/10/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/09/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/08/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/07/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/06/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/05/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/04/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/03/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/02/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
06/01/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/31/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/30/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/29/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/28/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/27/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/26/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/25/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/24/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/23/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/22/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/21/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/20/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/19/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/18/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/17/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/16/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/15/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/14/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/13/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/12/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/11/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/10/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/09/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/08/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/07/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/06/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/05/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/04/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
05/03/2023,3790,nghin dong/tan,Gia_be_tong_nhua_min:_Carboncor_Asphalt_-_CA_9.5
